Replicate ,Species,TIME,Glasshouse,CO2,H2O,ST,H,g1
7,PIL,B,2,Elevated,Low water,PILED,2.52,1.069422741
8,PIL,B,2,Elevated,Low water,PILED,2.37,0.926454807
9,PIL,B,2,Elevated,Low water,PILED,2.41,1.450530878
10,PIL,B,2,Elevated,High water,PILEND,2.7,1.54415314
11,PIL,B,2,Elevated,High water,PILEND,3,1.06834148
12,PIL,B,2,Elevated,High water,PILEND,2.79,1.48726624
19,PIL,B,3,Elevated,Low water,PILED,2.22,1.237723554
20,PIL,B,3,Elevated,Low water,PILED,2.77,1.269377679
21,PIL,B,3,Elevated,Low water,PILED,2.5,1.241601635
22,PIL,B,3,Elevated,High water,PILEND,2.72,1.945792598
23,PIL,B,3,Elevated,High water,PILEND,2.69,1.289776584
24,PIL,B,3,Elevated,High water,PILEND,2.92,0.920059759
31,PIL,B,4,Ambient,Low water,PILAD,2.095,1.660555944
32,PIL,B,4,Ambient,Low water,PILAD,2.275,1.061281754
33,PIL,B,4,Ambient,Low water,PILAD,2.125,1.561796847
34,PIL,B,4,Ambient,High water,PILAND,2.9,1.282494161
35,PIL,B,4,Ambient,High water,PILAND,2.845,2.355923889
36,PIL,B,4,Ambient,High water,PILAND,2.43,2.185981051
43,PIL,B,5,Ambient,Low water,PILAD,2.06,1.037002189
44,PIL,B,5,Ambient,Low water,PILAD,2.07,2.6857623
45,PIL,B,5,Ambient,Low water,PILAD,2.385,2.024790311
46,PIL,B,5,Ambient,High water,PILAND,2.65,2.135629664
47,PIL,B,5,Ambient,High water,PILAND,2.73,1.256446606
48,PIL,B,5,Ambient,High water,PILAND,2.64,2.644047327
1,POP,B,2,Elevated,Low water,POPED,1.61,2.307974912
2,POP,B,2,Elevated,Low water,POPED,1.58,2.124112676
3,POP,B,2,Elevated,Low water,POPED,1.49,1.749539292
4,POP,B,2,Elevated,High water,POPEND,1.2,2.525671643
5,POP,B,2,Elevated,High water,POPEND,1.27,2.035871981
6,POP,B,2,Elevated,High water,POPEND,1.47,2.278638742
13,POP,B,3,Elevated,Low water,POPED,1.62,3.313234059
14,POP,B,3,Elevated,Low water,POPED,1.25,2.387400855
15,POP,B,3,Elevated,Low water,POPED,1.35,2.963938363
16,POP,B,3,Elevated,High water,POPEND,1.45,3.007709189
17,POP,B,3,Elevated,High water,POPEND,1.32,3.868205343
18,POP,B,3,Elevated,High water,POPEND,1.73,4.207478926
25,POP,B,4,Ambient,Low water,POPAD,1.02,3.125760885
26,POP,B,4,Ambient,Low water,POPAD,0.8,5.221433836
27,POP,B,4,Ambient,Low water,POPAD,1.16,3.028291794
28,POP,B,4,Ambient,High water,POPAND,1.38,3.480117616
29,POP,B,4,Ambient,High water,POPAND,1.64,4.638277373
30,POP,B,4,Ambient,High water,POPAND,1.44,4.221559886
37,POP,B,5,Ambient,Low water,POPAD,1.26,2.894166407
38,POP,B,5,Ambient,Low water,POPAD,1.18,4.831910139
39,POP,B,5,Ambient,Low water,POPAD,0.92,2.591529898
40,POP,B,5,Ambient,High water,POPAND,1.44,5.551000741
41,POP,B,5,Ambient,High water,POPAND,1.57,1.827417316
42,POP,B,5,Ambient,High water,POPAND,1.77,4.507364667
7,PIL,A,2,Elevated,Low water,PILED,0.83,1.749641035
8,PIL,A,2,Elevated,Low water,PILED,0.92,0.770010662
9,PIL,A,2,Elevated,Low water,PILED,0.7,1.588913723
10,PIL,A,2,Elevated,High water,PILEND,0.86,1.410015085
11,PIL,A,2,Elevated,High water,PILEND,0.98,1.865264942
12,PIL,A,2,Elevated,High water,PILEND,0.85,2.444738527
19,PIL,A,3,Elevated,Low water,PILED,0.81,1.562994292
20,PIL,A,3,Elevated,Low water,PILED,0.76,2.148422628
21,PIL,A,3,Elevated,Low water,PILED,0.72,1.294433221
22,PIL,A,3,Elevated,High water,PILEND,1.05,2.590188001
23,PIL,A,3,Elevated,High water,PILEND,0.97,0.987476376
24,PIL,A,3,Elevated,High water,PILEND,0.71,1.500440843
31,PIL,A,4,Ambient,Low water,PILAD,0.45,2.295523721
32,PIL,A,4,Ambient,Low water,PILAD,0.84,1.522572918
33,PIL,A,4,Ambient,Low water,PILAD,0.61,2.302494841
34,PIL,A,4,Ambient,High water,PILAND,0.88,3.12838219
35,PIL,A,4,Ambient,High water,PILAND,0.8,2.687358856
36,PIL,A,4,Ambient,High water,PILAND,0.43,2.332483137
43,PIL,A,5,Ambient,Low water,PILAD,0.8,3.399743376
44,PIL,A,5,Ambient,Low water,PILAD,0.43,2.568494348
45,PIL,A,5,Ambient,Low water,PILAD,0.79,1.693080774
46,PIL,A,5,Ambient,High water,PILAND,0.84,2.403790188
47,PIL,A,5,Ambient,High water,PILAND,0.8,2.025448376
48,PIL,A,5,Ambient,High water,PILAND,0.65,2.266854256
1,POP,A,2,Elevated,Low water,POPED,0.55,4.412772081
2,POP,A,2,Elevated,Low water,POPED,0.46,3.372594867
3,POP,A,2,Elevated,Low water,POPED,0.43,3.654700364
4,POP,A,2,Elevated,High water,POPEND,0.5,3.963509325
5,POP,A,2,Elevated,High water,POPEND,0.42,4.567493075
6,POP,A,2,Elevated,High water,POPEND,0.62,4.859454174
13,POP,A,3,Elevated,Low water,POPED,0.41,4.413363129
14,POP,A,3,Elevated,Low water,POPED,0.44,4.780010648
15,POP,A,3,Elevated,Low water,POPED,0.56,4.233327818
16,POP,A,3,Elevated,High water,POPEND,0.41,3.976999591
17,POP,A,3,Elevated,High water,POPEND,0.4,5.220109376
18,POP,A,3,Elevated,High water,POPEND,0.52,3.668370146
25,POP,A,4,Ambient,Low water,POPAD,0.34,11.45042238
26,POP,A,4,Ambient,Low water,POPAD,0.63,7.447455574
27,POP,A,4,Ambient,Low water,POPAD,0.33,4.148896834
28,POP,A,4,Ambient,High water,POPAND,0.34,4.463779589
29,POP,A,4,Ambient,High water,POPAND,0.36,8.878317492
30,POP,A,4,Ambient,High water,POPAND,0.4,6.409617139
37,POP,A,5,Ambient,Low water,POPAD,0.53,5.381130061
38,POP,A,5,Ambient,Low water,POPAD,0.4,4.384499908
39,POP,A,5,Ambient,Low water,POPAD,0.46,4.806918135
40,POP,A,5,Ambient,High water,POPAND,0.5,3.222515281
41,POP,A,5,Ambient,High water,POPAND,0.45,5.381721366
42,POP,A,5,Ambient,High water,POPAND,0.44,6.722504842
